date,product,units_sold,revenue
2023-01-01,Snickers Bar,120000,189600.0
2023-01-01,Hersheys Bar,110000,167200.0
2023-02-01,Snickers Bar,121200,191496.0
2023-02-01,Hersheys Bar,105545,160428.4
2023-03-01,Snickers Bar,122400,193392.0
2023-03-01,Hersheys Bar,112200,170544.0
2023-04-01,Snickers Bar,123600,195288.0
2023-04-01,Hersheys Bar,113300,172216.0
2023-05-01,Snickers Bar,124800,197184.0
2023-05-01,Hersheys Bar,114400,173888.0
2023-06-01,Snickers Bar,126000,199080.0
2023-06-01,Hersheys Bar,115500,175560.0
2023-07-01,Snickers Bar,127200,200976.0
2023-07-01,Hersheys Bar,116600,177232.0
2023-08-01,Snickers Bar,128400,202872.0
2023-08-01,Hersheys Bar,117700,178904.0
2023-09-01,Snickers Bar,129600,204768.0
2023-09-01,Hersheys Bar,118800,180576.0
2023-10-01,Snickers Bar,163500,258330.0
2023-10-01,Hersheys Bar,155870,236922.4
2023-11-01,Snickers Bar,151800,239844.0
2023-11-01,Hersheys Bar,142780,217025.6
2023-12-01,Snickers Bar,146520,231501.6
2023-12-01,Hersheys Bar,136752,207863.04
2024-01-01,Snickers Bar,134400,212352.0
2024-01-01,Hersheys Bar,121000,183920.0
2024-02-01,Snickers Bar,135744,214475.52
2024-02-01,Hersheys Bar,116100,176472.0
2024-03-01,Snickers Bar,137088,216599.04
2024-03-01,Hersheys Bar,123420,187598.4
2024-04-01,Snickers Bar,138432,218722.56
2024-04-01,Hersheys Bar,124630,189437.6
2024-05-01,Snickers Bar,139776,220846.08
2024-05-01,Hersheys Bar,125840,191276.8
2024-06-01,Snickers Bar,141120,222969.6
2024-06-01,Hersheys Bar,127050,193116.0
2024-07-01,Snickers Bar,142464,225093.12
2024-07-01,Hersheys Bar,128260,194955.2
2024-08-01,Snickers Bar,143808,227216.64
2024-08-01,Hersheys Bar,129470,196794.4
2024-09-01,Snickers Bar,145152,229340.16
2024-09-01,Hersheys Bar,130680,198633.6
2024-10-01,Snickers Bar,183120,289329.6
2024-10-01,Hersheys Bar,171457,260614.64
2024-11-01,Snickers Bar,170016,268625.28
2024-11-01,Hersheys Bar,157058,238728.16
2024-12-01,Snickers Bar,164102,259281.16
2024-12-01,Hersheys Bar,150427,228649.04
